scrape_date,rank,provider,product_name,aer,duplicate_key
2026-06-26,277,Teachers BS,Easy Access Savings for Teachers (Issue 1),2.30,Teachers BS|Easy Access Savings for Teachers (Issue 1)|2.30
2026-06-26,278,Teachers BS,Easy Access Savings for Everyone (Issue 1),2.25,Teachers BS|Easy Access Savings for Everyone (Issue 1)|2.25
2026-06-26,279,Atom Bank,Instant Saver Reward,2.00,Atom Bank|Instant Saver Reward|2.00
2026-06-26,280,Chetwood Bank,Easy Access,3.78,Chetwood Bank|Easy Access|3.78
2026-06-26,281,National Savings & Investments,NS&I Direct Saver,3.45,National Savings & Investments|NS&I Direct Saver|3.45
2026-06-26,282,National Savings & Investments,Income Bonds,3.45,National Savings & Investments|Income Bonds|3.45
2026-06-26,283,Beverley BS,Instant Access,1.60,Beverley BS|Instant Access|1.60
2026-06-26,284,Beverley BS,Instant Access,1.56,Beverley BS|Instant Access|1.56
2026-06-26,285,Revolut,Instant Access Savings - Plus,5.00,Revolut|Instant Access Savings - Plus|5.00
2026-06-26,286,Revolut,Instant Access Savings - Premium,5.00,Revolut|Instant Access Savings - Premium|5.00
2026-06-26,287,Revolut,Instant Access Savings - Metal,5.00,Revolut|Instant Access Savings - Metal|5.00
2026-06-26,288,Revolut,Instant Access Savings - Ultra,5.00,Revolut|Instant Access Savings - Ultra|5.00
2026-06-26,289,Principality BS,Branch 5 Access Bonus Saver Issue 2,3.35,Principality BS|Branch 5 Access Bonus Saver Issue 2|3.35
2026-06-26,290,Principality BS,Branch Instant Access,2.25,Principality BS|Branch Instant Access|2.25
2026-06-26,291,Principality BS,Online Easy Access,2.25,Principality BS|Online Easy Access|2.25
2026-06-26,292,Hodge Bank,Easy Access Issue 1,4.01,Hodge Bank|Easy Access Issue 1|4.01
2026-06-26,293,Lloyds Bank,Easy Saver,0.90,Lloyds Bank|Easy Saver|0.90
2026-06-26,294,Halifax,Everyday Saver,0.90,Halifax|Everyday Saver|0.90
2026-06-26,295,Bank of Scotland,Access Saver,0.90,Bank of Scotland|Access Saver|0.90
2026-06-26,296,Monzo Bank,Instant Access Savings Pot,2.75,Monzo Bank|Instant Access Savings Pot|2.75
2026-06-26,297,Halifax,Reward Bonus Saver,2.75,Halifax|Reward Bonus Saver|2.75
2026-06-26,298,Halifax,Reward Bonus Saver,0.65,Halifax|Reward Bonus Saver|0.65
2026-06-26,299,Halifax,Bonus Saver,2.30,Halifax|Bonus Saver|2.30
2026-06-26,300,Halifax,Bonus Saver,0.65,Halifax|Bonus Saver|0.65
2026-06-26,301,Lloyds Bank,Club Lloyds Advantage Saver,2.75,Lloyds Bank|Club Lloyds Advantage Saver|2.75
2026-06-26,302,Lloyds Bank,Club Lloyds Advantage Saver,0.65,Lloyds Bank|Club Lloyds Advantage Saver|0.65
2026-06-26,303,Bank of Scotland,Advantage Saver,2.75,Bank of Scotland|Advantage Saver|2.75
2026-06-26,304,Bank of Scotland,Advantage Saver,0.65,Bank of Scotland|Advantage Saver|0.65
2026-06-26,305,Punjab National Bank (International) Limited,Savings Account,0.75,Punjab National Bank (International) Limited|Savings Account|0.75
2026-06-26,306,first direct,Bonus Savings Account,1.05,first direct|Bonus Savings Account|1.05
2026-06-26,307,first direct,Bonus Savings Account,3.35,first direct|Bonus Savings Account|3.35
2026-06-26,308,first direct,Savings Account,1.05,first direct|Savings Account|1.05
2026-06-26,309,Leeds BS,Access Saver,1.45,Leeds BS|Access Saver|1.45
2026-06-26,310,Leeds BS,E-Saver,1.45,Leeds BS|E-Saver|1.45
2026-06-26,311,Leeds BS,Five Access Saver,3.15,Leeds BS|Five Access Saver|3.15
2026-06-26,312,Monument Bank,Easy Access Savings,3.52,Monument Bank|Easy Access Savings|3.52
2026-06-26,313,Tandem Bank,Instant Access Savings Account,3.40,Tandem Bank|Instant Access Savings Account|3.40
2026-06-26,314,Cambridge BS,Instant Access Account,1.55,Cambridge BS|Instant Access Account|1.55
2026-06-26,315,The Co-operative Bank,Online Saver,2.00,The Co-operative Bank|Online Saver|2.00
2026-06-26,316,The Co-operative Bank,Smart Saver,1.40,The Co-operative Bank|Smart Saver|1.40
2026-06-26,317,AIB (NI),Select Account,1.50,AIB (NI)|Select Account|1.50
2026-06-26,318,Union Bank of India (UK) Ltd,Savings Account,1.00,Union Bank of India (UK) Ltd|Savings Account|1.00
2026-06-26,319,Allied Irish Bank (GB),Demand Deposit Account,1.50,Allied Irish Bank (GB)|Demand Deposit Account|1.50
2026-06-26,320,Lloyds Bank,Club Lloyds Saver,1.10,Lloyds Bank|Club Lloyds Saver|1.10
2026-06-26,321,National Savings & Investments,Investment Account,2.05,National Savings & Investments|Investment Account|2.05
2026-06-26,322,thisbank,Easy Access Savings Account,3.82,thisbank|Easy Access Savings Account|3.82
2026-06-26,323,Zopa,Smart Saver - Access Pot,2.95,Zopa|Smart Saver - Access Pot|2.95
2026-06-26,324,State Bank of India,Limited Access Savings Account,2.65,State Bank of India|Limited Access Savings Account|2.65
2026-06-26,325,AlRayan Bank,Everyday Saver (Issue 3),2.75,AlRayan Bank|Everyday Saver (Issue 3)|2.75
2026-06-26,326,HSBC,Online Bonus Saver,3.35,HSBC|Online Bonus Saver|3.35
2026-06-26,327,Scottish BS,Instant Access Saver,2.25,Scottish BS|Instant Access Saver|2.25
